# Epoch, Loss, Val Loss, MAE, Val MAE, R Squared, Val R Squared
1, 1111.7714, 258.14542, 23.2403, 12.9319, 0.7336, 0.8388
2, 299.8933, 229.23402, 13.3141, 12.2618, 0.9263, 0.8571
3, 235.5847, 205.09756, 11.8497, 11.3723, 0.9421, 0.8652
4, 203.7832, 165.51378, 11.0217, 10.0929, 0.9448, 0.8965
5, 183.1556, 169.4026, 10.4551, 10.2523, 0.9556, 0.8927
6, 162.9173, 146.38017, 9.8558, 9.2624, 0.9602, 0.9066
7, 150.3447, 138.62599, 9.4571, 9.1367, 0.9632, 0.9130
8, 137.0042, 190.6640, 9.0218, 10.8949, 0.9661, 0.8773
9, 124.2278, 131.20549, 8.5639, 8.8128, 0.9692, 0.9173
10, 117.2357, 228.1913, 8.2675, 12.1764, 0.9704, 0.8535
11, 105.5108, 139.7243, 7.8730, 9.2063, 0.9745, 0.9107
12, 97.6497, 134.4547, 7.5698, 8.8943, 0.9724, 0.9149
13, 90.1582, 173.9151, 7.2537, 10.5620, 0.9782, 0.8898
14, 80.6967, 131.3802, 6.8677, 8.8754, 0.9803, 0.9165
15, 75.6881, 135.9370, 6.6336, 9.0942, 0.9817, 0.9126
16, 71.6419, 149.1637, 6.4514, 9.5547, -1961872.7500, 0.9047
17, 67.5355, 138.6540, 6.2581, 9.0903, 0.9834, 0.9117
18, 65.6079, 152.2096, 6.1661, 9.7419, 0.9842, 0.9031
19, 58.0837, 144.7153, 5.8022, 9.4615, -2529431.7500, 0.9063
