# epochs, loss, val_loss, mae, val_mae, r_squared, val_r_squared
1, 2168.7424, 388.2373, 33.5209, 15.5333, 0.4810, 0.7565
2, 490.7250, 517.4608, 16.9914, 18.1351, 0.8800, 0.6746
3, 381.9062, 242.6393, 14.8832, 12.3203, 0.9054, 0.8387
4, 321.5437, 233.5541, 13.7155, 12.1352, 0.9218, 0.8538
5, 292.4584, 310.9082, 13.0916, 14.1180, 0.9288, 0.8016
6, 273.5298, 230.4716, 12.6673, 12.1186, 0.9335, 0.8539
7, 242.9755, 197.2521, 11.9850, 11.0313, 0.9400, 0.8750
8, 230.0737, 227.2072, 11.6503, 11.9975, 0.9436, 0.8532
9, 216.4584, 223.9665, 11.3012, 11.8960, 0.9442, 0.8572
10, 198.9491, 179.9346, 10.8475, 10.5106, 0.9498, 0.8852
11, 189.3088, 177.5127, 10.5649, 10.3976, 0.9539, 0.8866
12, 178.4076, 231.5964, 10.2318, 12.2258, 0.9535, 0.8541
13, 172.4949, 164.2018, 10.0395, 10.0443, 0.9580, 0.8968
14, 165.2209, 154.1440, 9.8606, 9.6814, 0.9586, 0.9018
15, 160.0218, 159.3736, 9.7062, 9.6848, 0.9610, 0.8960
16, 150.2174, 206.4246, 9.3844, 11.4035, 0.9473, 0.8674
17, 144.6830, 159.4736, 9.1944, 9.8870, 0.9389, 0.8986
18, 144.2413, 162.0744, 9.1742, 10.0743, 0.9644, 0.8969
19, 139.9264, 148.4193, 9.0680, 9.3790, 0.9657, 0.9020
20, 134.7219, 178.1126, 8.8902, 10.5386, 0.9669, 0.8870
