# epochs, loss, val_loss, mae, val_mae, r_squared, val_r_squared
1, 3163.9385, 1056.9050, 42.4412, 26.2834, -1.0243, 0.3553
2, 790.0693, 423.8705, 22.3434, 16.2336, 0.4988, 0.7385
3, 512.7365, 354.7455, 18.0400, 14.8646, 0.6663, 0.7688
4, 439.4924, 326.3951, 16.7038, 14.2950, 0.7209, 0.7963
5, 389.5667, 265.2769, 15.6545, 12.8925, 0.7486, 0.8333
6, 357.2563, 433.4437, 14.9947, 16.7094, 0.7718, 0.7265
7, 321.0260, 263.2145, 14.1874, 12.8156, 0.7948, 0.8342
8, 320.4341, 265.4021, 14.1756, 12.8765, 0.7946, 0.8312
9, 288.0399, 229.4848, 13.3139, 12.0281, 0.8157, 0.8560
10, 281.1701, 222.6443, 13.2441, 11.6852, 0.8214, 0.8571
11, 266.6900, 316.3634, 12.8915, 14.2460, 0.8280, 0.7988
12, 273.9226, 331.0189, 13.0141, 14.7674, 0.8246, 0.7913
13, 251.1607, 224.9720, 12.5216, 11.8016, 0.8375, 0.8597
14, 237.9581, 191.2917, 12.0916, 10.7866, 0.8478, 0.8789
15, 238.6511, 337.2223, 12.1991, 14.9839, 0.8469, 0.7801
16, 235.8668, 209.7094, 12.1265, 11.4368, 0.8485, 0.8676
17, 219.1862, 350.7810, 11.6934, 15.1597, 0.8603, 0.7793
18, 211.6506, 188.4681, 11.4334, 10.7334, 0.8643, 0.8800
19, 212.6709, 234.2740, 11.5244, 12.2297, 0.8624, 0.8503
20, 200.3546, 246.3297, 11.1598, 12.4999, 0.8701, 0.8431
