# Epoch, Loss, Val Loss, MAE, Val MAE, R Squared, Val R Squared
1, 1311.8752, 290.44885, 25.3773, 13.6709, 0.6848, 0.8191
2, 314.2900, 236.75728, 13.5961, 12.3849, 0.9232, 0.8530
3, 225.3698, 174.40236, 11.5792, 10.2794, 0.9448, 0.8856
4, 195.3230, 183.6905, 10.7514, 10.7107, 0.9516, 0.8838
5, 183.9184, 140.09113, 10.4449, 9.2370, 0.9552, 0.9114
6, 156.9997, 140.6111, 9.6221, 9.1678, 0.9618, 0.9111
7, 148.8040, 185.6955, 9.3854, 10.8529, 0.9637, 0.8811
8, 135.4491, 147.1221, 8.9595, 9.3927, 0.9667, 0.9042
9, 120.1980, 219.9703, 8.4269, 11.5898, 0.9697, 0.8591
10, 115.3757, 155.5436, 8.2297, 9.7675, 0.9716, 0.9006
11, 104.2903, 148.6990, 7.8237, 9.4990, 0.9747, 0.9062
12, 93.7414, 140.8897, 7.4354, 9.3099, 0.9772, 0.9109
13, 88.3311, 160.5294, 7.1807, 9.7671, 0.9787, 0.8975
14, 82.1807, 153.0345, 6.9236, 9.3593, 0.9800, 0.9019
15, 76.1045, 176.8510, 6.6512, 10.2531, 0.9816, 0.8849
